node_name,node_index,node_desc
TGSK-A,7118,
TGSK-B,7216,
TGSK-C,6430,
TGSK-D,6759,
TGSK-E,6105,
TGSK-F,5934,
GLHU-GL,9368,GLHU-GuanLanHe
GLHU-MZ,7799,GLHU-MingZhi
GLHU-LH,7792,Longhua
GLHU-DL,8819,DaLang
SK-GF,7347,Gaofeng
SK-ML,5249,Meilin
SK-ZK,5021,ZhenKeng
SK-GJ,10217,GuanJing
SK-CY,7812,ChiYou
SK-FT,11612,SK-FT
SK-DJ,12471,DaJian
SK-SZd,5168,ShenZhen downstream point
SK-SZu,6023,ShenZhen upstream point
SK-YT,9367,YanTian
HD-MZH,12648,maozhouhe
HD-GLH,9368,guanlanhe
HD-PSH,8776,pingshan he 
HD-LGH,10774,longgang he
JD-MLL,5129,meilinlu
JD-JHL,5539,jinhualu
JD-HTP,6797,huangtian paichusuo
JD-SLQ,10345, shuanglongqiao
