node_index,node_lon,node_lat
7118,113.864,22.6404
7216,113.882,22.6434
6430,113.895,22.6182
6759,113.906,22.6293
6105,113.907,22.6082
5934,113.883,22.6021
9368,114.04,22.7109
7799,114.059,22.6615
7792,114.012,22.6615
8819,114.028,22.6938
7347,113.997,22.6474
5249,114.032,22.5739
5021,114.217,22.5608
10217,114.194,22.735
7812,114.368,22.6615
11612,114.5,22.7663
12471,114.592,22.7844
5168,114.148,22.5688
6023,114.17,22.6051
9367,113.904,22.7109
12648,113.8,22.7884
9368,114.04,22.7109
8776,114.338,22.6918
10774,114.29,22.7481
5129,114.041,22.5668
5539,113.884,22.589
6797,113.845,22.6303
10345,114.273,22.7381
